r	c	score	cellTypeName_	cell_type
hs_180	mm_hippocampal CA1-3 neuron	0.93	mm_hippocampal CA1-3 neuron	['IT-ET Glut: CA1-ProS Glut', 'IT-ET Glut: CA2-FC-IG Glut', 'IT-ET Glut: CA3 Glut']
hs_207	mm_indirect pathway medium spiny neuron	0.93	mm_indirect pathway medium spiny neuron	['CNU-LGE GABA: STR D2 Gaba']
hs_364	mm_glutamatergic neuron	0.93	mm_glutamatergic neuron	['CNU-HYa Glut: ADP-MPO Trp73 Glut', 'CNU-HYa Glut: AVPV-MEPO-SFO Tbr1 Glut', 'CNU-HYa Glut: BST-po Iigp1 Glut', 'CNU-HYa Glut: LHA Barhl2 Glut', 'CNU-HYa Glut: LHA-MEA Otp Glut', 'CNU-HYa Glut: MEA-BST Otp Zic2 Glut', 'CNU-HYa Glut: MS-SF Bsx Glut', 'CNU-HYa Glut: SI-MA-LPO-LHA Skor1 Glut', 'CNU-HYa Glut: TRS-BAC Sln Glut', 'HY Glut: AHN-RCH-LHA Otp Fezf1 Glut', 'HY Glut: ARH-PVp Tbx3 Glut', 'HY Glut: DMH Hmx2 Glut', 'HY Glut: DMH Nkx2-4 Glut', 'HY Glut: DMH-LHA Vgll2 Glut', 'HY Glut: LHA Pmch Glut', 'HY Glut: LHA-AHN-PVH Otp Trh Glut', 'HY Glut: MPN-MPO-PVpo Hmx2 Glut', 'HY Glut: PH Pitx2 Glut', 'HY Glut: PH-LHA Foxb1 Glut', 'HY Glut: PH-SUM Foxa1 Glut', 'HY Glut: PH-an Pitx2 Glut', 'HY Glut: PH-ant-LHA Otp Bsx Glut', 'HY Glut: PMd-LHA Foxb1 Glut', 'HY Glut: PMv-TMv Pitx2 Glut', 'HY Glut: PVH-SO-PVa Otp Glut', 'HY Glut: STN-PSTN Pitx2 Glut', 'HY Glut: VMH Fezf1 Glut', 'HY Glut: VMH Nr5a1 Glut', 'IT-ET Glut: CLA-EPd-CTX Car3 Glut', 'IT-ET Glut: ENTmv-PA-COAp Glut', 'IT-ET Glut: L4 RSP-ACA Glut', 'IT-ET Glut: L5 PPP Glut', 'IT-ET Glut: NLOT Rho Glut', 'IT-ET Glut: SUB-ProS Glut', 'MB Glut: APN C1ql2 Glut', 'MB Glut: APN C1ql4 Glut', 'MB Glut: CUN Evx2 Lhx2 Glut', 'MB Glut: CUN-PPN Evx2 Meis2 Glut', 'MB Glut: IC Tfap2d Maf Glut', 'MB Glut: IF-RL-CLI-PAG Foxa1 Glut', 'MB Glut: MB-ant-ve Dmrta2 Glut', 'MB Glut: MEV Ppp1r1c Glut', 'MB Glut: MRN Pou3f1 C1ql4 Glut', 'MB Glut: MRN-PAG Nkx6-1 Glut', 'MB Glut: ND-INC Foxd2 Glut', 'MB Glut: PAG Pou4f1 Bnc2 Glut', 'MB Glut: PAG Pou4f1 Ebf2 Glut', 'MB Glut: PAG Pou4f2 Glut', 'MB Glut: PAG Pou4f2 Mesi2 Glut', 'MB Glut: PAG Pou4f3 Glut', 'MB Glut: PAG Tcf24 Glut', 'MB Glut: PAG Ucn Glut', 'MB Glut: PAG-MRN Pou3f1 Glut', 'MB Glut: PAG-MRN Tfap2b Glut', 'MB Glut: PAG-SC Neurod2 Meis2 Glut', 'MB Glut: PAG-SC Pou4f1 Zic1 Glut', 'MB Glut: PRC-PAG Pax6 Glut', 'MB Glut: PRC-PAG Tcf7l2 Irx2 Glut', 'MB Glut: RN Spp1 Glut', 'MB Glut: SC Bnc2 Glut', 'MB Glut: SCdg-PAG Tfap2b Glut', 'MB Glut: SCig Foxb1 Glut', 'MB Glut: SCig Foxb1 Otx2 Glut', 'MB Glut: SCig Tfap2b Chrnb3 Glut', 'MB Glut: SCig-an-PPT Foxb1 Glut', 'MB Glut: SCiw Pitx2 Glut', 'MB Glut: SCop Pou4f2 Neurod2 Glut', 'MB Glut: SCop Sln Glut', 'MB Glut: SCsg Pde5a Glut', 'MB Glut: SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut', 'MH-LH Glut: LH Pou4f1 Sox1 Glut', 'MH-LH Glut: MH Tac2 Glut', 'MY Glut: CU-ECU-SPVI Foxb1 Glut', 'MY Glut: IO Fgl2 Glut', 'MY Glut: IRN Vip Glut', 'MY Glut: MARN-GRN Pyy Glut', 'MY Glut: MDRNd Bves Glut', 'MY Glut: MDRNv Crp Glut', 'MY Glut: MDRNv Lhx4 Qrfprl Glut', 'MY Glut: MV-SPIV Phox2b Ebf3 Lbx1 Glut', 'MY Glut: MV-SPIV Slc6a2 Glut', 'MY Glut: MV-SPIV Zic4 Neurod2 Glut', 'MY Glut: NTS Aldh1a2 Glut', 'MY Glut: NTS Dbh Glut', 'MY Glut: NTS Mbnl3 Glut', 'MY Glut: NTS Phox2b Glut', 'MY Glut: PGRN-PARN-MDRN Hoxb5 Glut', 'MY Glut: PGRNd Dmbx1 Glut', 'MY Glut: PRP-NI-PRNc-GRN Otp Glut', 'MY Glut: SPVC Ccdc172 Glut', 'MY Glut: SPVC Mafa Glut', 'MY Glut: SPVC Nmu Glut', 'MY Glut: SPVI-SPVC Tlx3 Ebf3 Glut', 'MY Glut: SPVO Mafa Meis2 Glut', 'MY Glut: VCO Mafa Meis2 Glut', 'P Glut: B-PB Nr4a2 Glut', 'P Glut: IPN-LDT Vsx2 Nkx6-1 Glut', 'P Glut: LDT Vsx2 Nkx6-1 Nfib Glut', 'P Glut: LDT-PCG Vsx2 Lhx4 Glut', 'P Glut: NLL-SOC Spp1 Glut', 'P Glut: PB Evx2 Glut', 'P Glut: PB Lmx1a Glut', 'P Glut: PB Pax5 Glut', 'P Glut: PB-NTS Phox2b Ebf3 Lmx1b Glut', 'P Glut: PB-PSV Phox2b Glut', 'P Glut: PB-SUT Tlx3 Lhx2 Glut', 'P Glut: PCG-PRNr Vsx2 Nkx6-1 Glut', 'P Glut: PG-TRN-LRN Fat2 Glut', 'P Glut: PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut', 'P Glut: PRNc-PARN Tlx1 Glut', 'P Glut: PRNr Otp Nfib Glut', 'P Glut: PSV Lmx1a Trpv6 Glut', 'P Glut: PSV Pvalb Lhx2 Glut']
hs_3	mm_microglial cell	0.93	mm_microglial cell	['Immune: Microglia NN']
hs_452	mm_thalamic excitatory neuron	0.92	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_211	mm_direct pathway medium spiny neuron	0.92	mm_direct pathway medium spiny neuron	['CNU-LGE GABA: STR D1 Gaba']
hs_221	mm_indirect pathway medium spiny neuron	0.92	mm_indirect pathway medium spiny neuron	['CNU-LGE GABA: STR D2 Gaba']
hs_107	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.92	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	['NP-CT-L6b Glut: L6 CT CTX Glut']
hs_212	mm_indirect pathway medium spiny neuron	0.91	mm_indirect pathway medium spiny neuron	['CNU-LGE GABA: STR D2 Gaba']
hs_216	mm_indirect pathway medium spiny neuron	0.91	mm_indirect pathway medium spiny neuron	['CNU-LGE GABA: STR D2 Gaba']
hs_252	mm_sst GABAergic cortical interneuron	0.91	mm_sst GABAergic cortical interneuron	['CTX-MGE GABA: Sst Gaba']
hs_403	mm_olfactory granule cell	0.91	mm_olfactory granule cell	['OB-IMN GABA: OB Trdn Gaba', 'OB-IMN GABA: OB-STR-CTX Inh IMN', 'OB-IMN GABA: OB-in Frmd7 Gaba']
hs_286	mm_lamp5 GABAergic cortical interneuron	0.91	mm_lamp5 GABAergic cortical interneuron	['CTX-CGE GABA: Lamp5 Gaba']
hs_311	mm_cerebellar granule cell	0.9	mm_cerebellar granule cell	['CB Glut: CB Granule Glut']
hs_109	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.9	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	['NP-CT-L6b Glut: L6 CT CTX Glut']
hs_343	mm_glutamatergic neuron	0.89	mm_glutamatergic neuron	['CNU-HYa Glut: ADP-MPO Trp73 Glut', 'CNU-HYa Glut: AVPV-MEPO-SFO Tbr1 Glut', 'CNU-HYa Glut: BST-po Iigp1 Glut', 'CNU-HYa Glut: LHA Barhl2 Glut', 'CNU-HYa Glut: LHA-MEA Otp Glut', 'CNU-HYa Glut: MEA-BST Otp Zic2 Glut', 'CNU-HYa Glut: MS-SF Bsx Glut', 'CNU-HYa Glut: SI-MA-LPO-LHA Skor1 Glut', 'CNU-HYa Glut: TRS-BAC Sln Glut', 'HY Glut: AHN-RCH-LHA Otp Fezf1 Glut', 'HY Glut: ARH-PVp Tbx3 Glut', 'HY Glut: DMH Hmx2 Glut', 'HY Glut: DMH Nkx2-4 Glut', 'HY Glut: DMH-LHA Vgll2 Glut', 'HY Glut: LHA Pmch Glut', 'HY Glut: LHA-AHN-PVH Otp Trh Glut', 'HY Glut: MPN-MPO-PVpo Hmx2 Glut', 'HY Glut: PH Pitx2 Glut', 'HY Glut: PH-LHA Foxb1 Glut', 'HY Glut: PH-SUM Foxa1 Glut', 'HY Glut: PH-an Pitx2 Glut', 'HY Glut: PH-ant-LHA Otp Bsx Glut', 'HY Glut: PMd-LHA Foxb1 Glut', 'HY Glut: PMv-TMv Pitx2 Glut', 'HY Glut: PVH-SO-PVa Otp Glut', 'HY Glut: STN-PSTN Pitx2 Glut', 'HY Glut: VMH Fezf1 Glut', 'HY Glut: VMH Nr5a1 Glut', 'IT-ET Glut: CLA-EPd-CTX Car3 Glut', 'IT-ET Glut: ENTmv-PA-COAp Glut', 'IT-ET Glut: L4 RSP-ACA Glut', 'IT-ET Glut: L5 PPP Glut', 'IT-ET Glut: NLOT Rho Glut', 'IT-ET Glut: SUB-ProS Glut', 'MB Glut: APN C1ql2 Glut', 'MB Glut: APN C1ql4 Glut', 'MB Glut: CUN Evx2 Lhx2 Glut', 'MB Glut: CUN-PPN Evx2 Meis2 Glut', 'MB Glut: IC Tfap2d Maf Glut', 'MB Glut: IF-RL-CLI-PAG Foxa1 Glut', 'MB Glut: MB-ant-ve Dmrta2 Glut', 'MB Glut: MEV Ppp1r1c Glut', 'MB Glut: MRN Pou3f1 C1ql4 Glut', 'MB Glut: MRN-PAG Nkx6-1 Glut', 'MB Glut: ND-INC Foxd2 Glut', 'MB Glut: PAG Pou4f1 Bnc2 Glut', 'MB Glut: PAG Pou4f1 Ebf2 Glut', 'MB Glut: PAG Pou4f2 Glut', 'MB Glut: PAG Pou4f2 Mesi2 Glut', 'MB Glut: PAG Pou4f3 Glut', 'MB Glut: PAG Tcf24 Glut', 'MB Glut: PAG Ucn Glut', 'MB Glut: PAG-MRN Pou3f1 Glut', 'MB Glut: PAG-MRN Tfap2b Glut', 'MB Glut: PAG-SC Neurod2 Meis2 Glut', 'MB Glut: PAG-SC Pou4f1 Zic1 Glut', 'MB Glut: PRC-PAG Pax6 Glut', 'MB Glut: PRC-PAG Tcf7l2 Irx2 Glut', 'MB Glut: RN Spp1 Glut', 'MB Glut: SC Bnc2 Glut', 'MB Glut: SCdg-PAG Tfap2b Glut', 'MB Glut: SCig Foxb1 Glut', 'MB Glut: SCig Foxb1 Otx2 Glut', 'MB Glut: SCig Tfap2b Chrnb3 Glut', 'MB Glut: SCig-an-PPT Foxb1 Glut', 'MB Glut: SCiw Pitx2 Glut', 'MB Glut: SCop Pou4f2 Neurod2 Glut', 'MB Glut: SCop Sln Glut', 'MB Glut: SCsg Pde5a Glut', 'MB Glut: SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut', 'MH-LH Glut: LH Pou4f1 Sox1 Glut', 'MH-LH Glut: MH Tac2 Glut', 'MY Glut: CU-ECU-SPVI Foxb1 Glut', 'MY Glut: IO Fgl2 Glut', 'MY Glut: IRN Vip Glut', 'MY Glut: MARN-GRN Pyy Glut', 'MY Glut: MDRNd Bves Glut', 'MY Glut: MDRNv Crp Glut', 'MY Glut: MDRNv Lhx4 Qrfprl Glut', 'MY Glut: MV-SPIV Phox2b Ebf3 Lbx1 Glut', 'MY Glut: MV-SPIV Slc6a2 Glut', 'MY Glut: MV-SPIV Zic4 Neurod2 Glut', 'MY Glut: NTS Aldh1a2 Glut', 'MY Glut: NTS Dbh Glut', 'MY Glut: NTS Mbnl3 Glut', 'MY Glut: NTS Phox2b Glut', 'MY Glut: PGRN-PARN-MDRN Hoxb5 Glut', 'MY Glut: PGRNd Dmbx1 Glut', 'MY Glut: PRP-NI-PRNc-GRN Otp Glut', 'MY Glut: SPVC Ccdc172 Glut', 'MY Glut: SPVC Mafa Glut', 'MY Glut: SPVC Nmu Glut', 'MY Glut: SPVI-SPVC Tlx3 Ebf3 Glut', 'MY Glut: SPVO Mafa Meis2 Glut', 'MY Glut: VCO Mafa Meis2 Glut', 'P Glut: B-PB Nr4a2 Glut', 'P Glut: IPN-LDT Vsx2 Nkx6-1 Glut', 'P Glut: LDT Vsx2 Nkx6-1 Nfib Glut', 'P Glut: LDT-PCG Vsx2 Lhx4 Glut', 'P Glut: NLL-SOC Spp1 Glut', 'P Glut: PB Evx2 Glut', 'P Glut: PB Lmx1a Glut', 'P Glut: PB Pax5 Glut', 'P Glut: PB-NTS Phox2b Ebf3 Lmx1b Glut', 'P Glut: PB-PSV Phox2b Glut', 'P Glut: PB-SUT Tlx3 Lhx2 Glut', 'P Glut: PCG-PRNr Vsx2 Nkx6-1 Glut', 'P Glut: PG-TRN-LRN Fat2 Glut', 'P Glut: PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut', 'P Glut: PRNc-PARN Tlx1 Glut', 'P Glut: PRNr Otp Nfib Glut', 'P Glut: PSV Lmx1a Trpv6 Glut', 'P Glut: PSV Pvalb Lhx2 Glut']
hs_450	mm_thalamic excitatory neuron	0.89	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_209	mm_direct pathway medium spiny neuron	0.88	mm_direct pathway medium spiny neuron	['CNU-LGE GABA: STR D1 Gaba']
hs_254	mm_sst GABAergic cortical interneuron	0.87	mm_sst GABAergic cortical interneuron	['CTX-MGE GABA: Sst Gaba']
hs_287	mm_lamp5 GABAergic cortical interneuron	0.87	mm_lamp5 GABAergic cortical interneuron	['CTX-CGE GABA: Lamp5 Gaba']
hs_261	mm_pvalb GABAergic cortical interneuron	0.87	mm_pvalb GABAergic cortical interneuron	['CTX-MGE GABA: Pvalb Gaba', 'OB-IMN GABA: OB-mi Frmd7 Gaba']
hs_310	mm_cerebellar granule cell	0.87	mm_cerebellar granule cell	['CB Glut: CB Granule Glut']
hs_86	mm_near-projecting glutamatergic cortical neuron	0.87	mm_near-projecting glutamatergic cortical neuron	['NP-CT-L6b Glut: L5 NP CTX Glut', 'NP-CT-L6b Glut: NP PPP Glut', 'NP-CT-L6b Glut: NP SUB Glut']
hs_260	mm_pvalb GABAergic cortical interneuron	0.86	mm_pvalb GABAergic cortical interneuron	['CTX-MGE GABA: Pvalb Gaba', 'OB-IMN GABA: OB-mi Frmd7 Gaba']
hs_303	mm_cerebellar neuron	0.86	mm_cerebellar neuron	['CB GABA: CBX MLI Cdh22 Gaba', 'CB GABA: CBX MLI Megf11 Gaba']
hs_288	mm_lamp5 GABAergic cortical interneuron	0.86	mm_lamp5 GABAergic cortical interneuron	['CTX-CGE GABA: Lamp5 Gaba']
hs_459	mm_thalamic excitatory neuron	0.86	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_138	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.85	mm_L4/5 intratelencephalic projecting glutamatergic neuron	['IT-ET Glut: L4/5 IT CTX Glut']
hs_306	mm_cerebellar neuron	0.85	mm_cerebellar neuron	['CB GABA: CBX MLI Cdh22 Gaba', 'CB GABA: CBX MLI Megf11 Gaba']
hs_451	mm_thalamic excitatory neuron	0.84	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_453	mm_thalamic excitatory neuron	0.84	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_197	mm_hippocampal CA1-3 neuron	0.84	mm_hippocampal CA1-3 neuron	['IT-ET Glut: CA1-ProS Glut', 'IT-ET Glut: CA2-FC-IG Glut', 'IT-ET Glut: CA3 Glut']
