dataset	labelset	labelset_rank	label	iri
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	COP	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0010
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	Ependymal	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0012
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	Endo	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0011
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR D2 MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0029
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR D1 MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0028
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	M Dopa	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0025
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	SMC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0024
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	SN PAX7 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0026
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	OT Granular GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0021
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	OPC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0020
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	Pericyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0023
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	Oligodendrocyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0022
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	ACx MEIS2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0036
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	VLMC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0035
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	Monocyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0038
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	F GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0037
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR SST GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0032
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR RSPO2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0031
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR SST-CHODL GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0033
HMBA Basal Ganglia Consensus Taxonomy	Subclass	1	STR Hybrid MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0030
HMBA Basal Ganglia Consensus Taxonomy	Group	0	BAM	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0001
HMBA Basal Ganglia Consensus Taxonomy	Group	0	B cells	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0000
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPin-BF Cholinergic GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0003
HMBA Basal Ganglia Consensus Taxonomy	Group	0	LAMP5-LHX6 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0005
HMBA Basal Ganglia Consensus Taxonomy	Group	0	LAMP5-CXCL14 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0004
HMBA Basal Ganglia Consensus Taxonomy	Group	0	COP	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0009
HMBA Basal Ganglia Consensus Taxonomy	Group	0	BF SKOR1 Glut	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0008
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Ependymal	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0012
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Endo	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0011
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPe SOX6-CTXND1 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0014
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPe MEIS2-SOX6 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0013
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPi Shell	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0016
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPi Core	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0015
HMBA Basal Ganglia Consensus Taxonomy	Group	0	ImOligo	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0018
HMBA Basal Ganglia Consensus Taxonomy	Group	0	ImAstro	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0017
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Microglia	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0019
HMBA Basal Ganglia Consensus Taxonomy	Group	0	OPC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0023
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Monocyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0022
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Oligo OPALIN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0025
HMBA Basal Ganglia Consensus Taxonomy	Group	0	OT D1 ICj	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0024
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Pericyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0027
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Oligo PLEKHG1	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0026
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN-VTR CALB1 Dopa	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0029
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SMC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0028
HMBA Basal Ganglia Consensus Taxonomy	Group	0	GPe-NDB-SI LHX6-LHX8-GBX1 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0020
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN SEMA5A GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0034
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN GATA3-PVALB GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0033
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN SOX6 Dopa	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0035
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STH PVALB-PITX2 Glut	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0038
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN-VTR-HTH GATA3-TCF7L2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0037
HMBA Basal Ganglia Consensus Taxonomy	Group	0	Astrocyte	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0039
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN EBF2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0030
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN GATA3-PAX8 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0032
HMBA Basal Ganglia Consensus Taxonomy	Group	0	SN-VTR GAD2 Dopa	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0031
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR TAC3-PLPP4 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0045
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR SST-RSPO2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0044
HMBA Basal Ganglia Consensus Taxonomy	Group	0	VIP GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0047
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR-BF TAC3-PLPP4-LHX8 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0046
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd D1 Matrix MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0049
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd Cholinergic GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0048
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR LYPD6-RSPO2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0041
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR FS PTHLH-PVALB GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0040
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR SST-CHODL GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0043
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR SST-ADARB2 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0042
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRv D1 MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0056
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR Cholinergic GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0055
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRv D2 MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0058
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRv D1 NUDAP MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0057
HMBA Basal Ganglia Consensus Taxonomy	Group	0	T cells	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0059
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd D1 Striosome MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0050
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd D2 Matrix MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0052
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STR D1D2 Hybrid MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0051
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd D2 Striosome MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0054
HMBA Basal Ganglia Consensus Taxonomy	Group	0	STRd D2 StrioMat Hybrid MSN	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0053
HMBA Basal Ganglia Consensus Taxonomy	Group	0	OB Dopa-GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0067
HMBA Basal Ganglia Consensus Taxonomy	Group	0	AMY-SLEA-BNST GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0066
HMBA Basal Ganglia Consensus Taxonomy	Group	0	OB FRMD7 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0068
HMBA Basal Ganglia Consensus Taxonomy	Group	0	ZI-HTH GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0063
HMBA Basal Ganglia Consensus Taxonomy	Group	0	VLMC	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0062
HMBA Basal Ganglia Consensus Taxonomy	Group	0	AMY-SLEA-BNST D1 GABA	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0065
HMBA Basal Ganglia Consensus Taxonomy	Group	0	VTR-HTH Glut	https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0064
Whole Mouse Brain Taxonomy	neurotransmitter	None	Nora	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Nora
Whole Mouse Brain Taxonomy	neurotransmitter	None	NA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_NA
Whole Mouse Brain Taxonomy	neurotransmitter	None	Glut-GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Glut-GABA
Whole Mouse Brain Taxonomy	neurotransmitter	None	Chol	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Chol
Whole Mouse Brain Taxonomy	neurotransmitter	None	Sero	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Sero
Whole Mouse Brain Taxonomy	neurotransmitter	None	GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_GABA
Whole Mouse Brain Taxonomy	neurotransmitter	None	Hist	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Hist
Whole Mouse Brain Taxonomy	neurotransmitter	None	Dopa	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Dopa
Whole Mouse Brain Taxonomy	neurotransmitter	None	GABA-Glyc	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_GABA-Glyc
Whole Mouse Brain Taxonomy	neurotransmitter	None	Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_NEUR_Glut
Whole Mouse Brain Taxonomy	class	3	08 CNU-MGE GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_08
Whole Mouse Brain Taxonomy	class	3	09 CNU-LGE GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_09
Whole Mouse Brain Taxonomy	class	3	04 DG-IMN Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_04
Whole Mouse Brain Taxonomy	class	3	05 OB-IMN GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_05
Whole Mouse Brain Taxonomy	class	3	06 CTX-CGE GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_06
Whole Mouse Brain Taxonomy	class	3	07 CTX-MGE GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_07
Whole Mouse Brain Taxonomy	class	3	01 IT-ET Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_01
Whole Mouse Brain Taxonomy	class	3	02 NP-CT-L6b Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_02
Whole Mouse Brain Taxonomy	class	3	03 OB-CR Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_03
Whole Mouse Brain Taxonomy	class	3	19 MB Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_19
Whole Mouse Brain Taxonomy	class	3	10 LSX GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_10
Whole Mouse Brain Taxonomy	class	3	15 HY Gnrh1 Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_15
Whole Mouse Brain Taxonomy	class	3	16 HY MM Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_16
Whole Mouse Brain Taxonomy	class	3	17 MH-LH Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_17
Whole Mouse Brain Taxonomy	class	3	18 TH Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_18
Whole Mouse Brain Taxonomy	class	3	11 CNU-HYa GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_11
Whole Mouse Brain Taxonomy	class	3	12 HY GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_12
Whole Mouse Brain Taxonomy	class	3	13 CNU-HYa Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_13
Whole Mouse Brain Taxonomy	class	3	14 HY Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_14
Whole Mouse Brain Taxonomy	class	3	20 MB GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_20
Whole Mouse Brain Taxonomy	class	3	21 MB Dopa	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_21
Whole Mouse Brain Taxonomy	class	3	26 P GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_26
Whole Mouse Brain Taxonomy	class	3	27 MY GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_27
Whole Mouse Brain Taxonomy	class	3	28 CB GABA	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_28
Whole Mouse Brain Taxonomy	class	3	29 CB Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_29
Whole Mouse Brain Taxonomy	class	3	22 MB-HB Sero	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_22
Whole Mouse Brain Taxonomy	class	3	23 P Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_23
Whole Mouse Brain Taxonomy	class	3	24 MY Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_24
Whole Mouse Brain Taxonomy	class	3	25 Pineal Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_25
Whole Mouse Brain Taxonomy	class	3	30 Astro-Epen	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_30
Whole Mouse Brain Taxonomy	class	3	31 OPC-Oligo	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_31
Whole Mouse Brain Taxonomy	class	3	32 OEC	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_32
Whole Mouse Brain Taxonomy	class	3	33 Vascular	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_33
Whole Mouse Brain Taxonomy	class	3	34 Immune	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_CLAS_34
Whole Mouse Brain Taxonomy	subclass	2	330 VLMC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_330
Whole Mouse Brain Taxonomy	subclass	2	331 Peri NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_331
Whole Mouse Brain Taxonomy	subclass	2	334 Microglia NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_334
Whole Mouse Brain Taxonomy	subclass	2	335 BAM NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_335
Whole Mouse Brain Taxonomy	subclass	2	332 SMC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_332
Whole Mouse Brain Taxonomy	subclass	2	333 Endo NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_333
Whole Mouse Brain Taxonomy	subclass	2	338 Lymphoid NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_338
Whole Mouse Brain Taxonomy	subclass	2	336 Monocytes NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_336
Whole Mouse Brain Taxonomy	subclass	2	337 DC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_337
Whole Mouse Brain Taxonomy	subclass	2	320 Astro-OLF NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_320
Whole Mouse Brain Taxonomy	subclass	2	323 Ependymal NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_323
Whole Mouse Brain Taxonomy	subclass	2	324 Hypendymal NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_324
Whole Mouse Brain Taxonomy	subclass	2	321 Astroependymal NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_321
Whole Mouse Brain Taxonomy	subclass	2	322 Tanycyte NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_322
Whole Mouse Brain Taxonomy	subclass	2	327 Oligo NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_327
Whole Mouse Brain Taxonomy	subclass	2	328 OEC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_328
Whole Mouse Brain Taxonomy	subclass	2	325 CHOR NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_325
Whole Mouse Brain Taxonomy	subclass	2	326 OPC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_326
Whole Mouse Brain Taxonomy	subclass	2	329 ABC NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_329
Whole Mouse Brain Taxonomy	subclass	2	312 CBX MLI Cdh22 Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_312
Whole Mouse Brain Taxonomy	subclass	2	313 CBX Purkinje Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_313
Whole Mouse Brain Taxonomy	subclass	2	310 CBX Golgi Gly-Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_310
Whole Mouse Brain Taxonomy	subclass	2	311 CBX MLI Megf11 Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_311
Whole Mouse Brain Taxonomy	subclass	2	316 Bergmann NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_316
Whole Mouse Brain Taxonomy	subclass	2	317 Astro-CB NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_317
Whole Mouse Brain Taxonomy	subclass	2	314 CB Granule Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_314
Whole Mouse Brain Taxonomy	subclass	2	315 DCO UBC Glut	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_315
Whole Mouse Brain Taxonomy	subclass	2	318 Astro-NT NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_318
Whole Mouse Brain Taxonomy	subclass	2	319 Astro-TE NN	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_319
Whole Mouse Brain Taxonomy	subclass	2	301 MV Nr4a2 Gly-Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_301
Whole Mouse Brain Taxonomy	subclass	2	302 MV Xdh Gly-Gaba	https://purl.brain-bican.org/ontology/CCN20230722/CS20230722_SUBC_302
