BG2WMB_mapping,refs,BG_path,BG_mapped_2_CL,BG_CL_mapping,WMB_mapped_2_CL,WMB_CL_mapping,no_bg_cl_mapping
Group: STRd D2 Matrix MSN --> supertype: 0277 STR D2 Gaba_4,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Matrix MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRd D2 Matrix MSN --> supertype: 0277 STR D2 Gaba_4,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Matrix MSN]",Group: STRd D2 Matrix MSN,matrix D2 medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRd D2 Matrix MSN --> supertype: 0277 STR D2 Gaba_4,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Matrix MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRd D2 StrioMat Hybrid MSN --> supertype: 0279 STR D2 Gaba_6,null,"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 StrioMat Hybrid MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRd D2 StrioMat Hybrid MSN --> supertype: 0279 STR D2 Gaba_6,null,"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 StrioMat Hybrid MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRd D2 Striosome MSN --> supertype: 0279 STR D2 Gaba_6,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Striosome MSN]",Group: STRd D2 Striosome MSN,striosomal D2 medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRd D2 Striosome MSN --> supertype: 0279 STR D2 Gaba_6,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Striosome MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRd D2 Striosome MSN --> supertype: 0279 STR D2 Gaba_6,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Striosome MSN]",Group: STRd D2 Striosome MSN,striosomal D2 medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRd D2 Striosome MSN --> supertype: 0279 STR D2 Gaba_6,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRd D2 Striosome MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRv D2 MSN --> subclass: 062 STR D2 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRv D2 MSN]",Group: STRv D2 MSN,nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRv D2 MSN --> subclass: 062 STR D2 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRv D2 MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,subclass: 062 STR D2 Gaba,indirect pathway medium spiny neuron,false
Group: STRv D2 MSN --> subclass: 062 STR D2 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRv D2 MSN]",Group: STRv D2 MSN,nucleus accumbens shell and olfactory tubercle D2 medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRv D2 MSN --> subclass: 062 STR D2 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR D2 MSN,STRv D2 MSN]",Subclass: STR D2 MSN,indirect pathway medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STR D1D2 Hybrid MSN --> subclass: 063 STR D1 Sema5a Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STR D1D2 Hybrid MSN]",Group: STR D1D2 Hybrid MSN,D1/D2-hybrid medium spiny neuron,subclass: 063 STR D1 Sema5a Gaba,direct pathway medium spiny neuron,false
Group: STR D1D2 Hybrid MSN --> subclass: 063 STR D1 Sema5a Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STR D1D2 Hybrid MSN]",Subclass: STR Hybrid MSN,D1/D2-hybrid medium spiny neuron,subclass: 063 STR D1 Sema5a Gaba,direct pathway medium spiny neuron,false
Group: STR D1D2 Hybrid MSN --> subclass: 063 STR D1 Sema5a Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STR D1D2 Hybrid MSN]",Group: STR D1D2 Hybrid MSN,D1/D2-hybrid medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STR D1D2 Hybrid MSN --> subclass: 063 STR D1 Sema5a Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STR D1D2 Hybrid MSN]",Subclass: STR Hybrid MSN,D1/D2-hybrid medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRv D1 NUDAP MSN --> subclass: 064 STR-PAL Chst9 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STRv D1 NUDAP MSN]",Group: STRv D1 NUDAP MSN,RXFP1-positive interface island D1-medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STRv D1 NUDAP MSN --> subclass: 064 STR-PAL Chst9 Gaba,[https://doi.org/10.1016/j.cub.2021.10.015],"[Subpallium GABA,CN LGE GABA,STR Hybrid MSN,STRv D1 NUDAP MSN]",Subclass: STR Hybrid MSN,D1/D2-hybrid medium spiny neuron,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,false
Group: STR FS PTHLH-PVALB GABA --> supertype: 0234 STR Prox1 Lhx6 Gaba_2,[https://doi.org/10.1016/j.celrep.2018.07.053],"[Subpallium GABA,CN MGE GABA,CN ST18 GABA,STR FS PTHLH-PVALB GABA]",Group: STR FS PTHLH-PVALB GABA,striatal pthlh-expressing interneuron,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,false
Group: STR TAC3-PLPP4 GABA --> supertype: 0236 STR Lhx8 Gaba_1,[https://doi.org/10.1038/s41586-020-2874-8],"[Subpallium GABA,CN MGE GABA,CN ST18 GABA,STR TAC3-PLPP4 GABA]",Group: STR TAC3-PLPP4 GABA,TAC3-positive striatal interneuron,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,false
Group: BF SKOR1 Glut --> subclass: 119 SI-MA-LPO-LHA Skor1 Glut,null,"[Glut Sero Dopa,F M Glut,F Glut,BF SKOR1 Glut]",null,null,class: 13 CNU-HYa Glut,neuron,true
Group: STH PVALB-PITX2 Glut --> supertype: 0602 STN-PSTN Pitx2 Glut_5,[https://doi.org/10.1038/s41586-023-06812-z],"[Glut Sero Dopa,F M Glut,F Glut,STH PVALB-PITX2 Glut]",null,null,class: 14 HY Glut,neuron,true
Group: LAMP5-CXCL14 GABA --> subclass: 049 Lamp5 Gaba,null,"[Subpallium GABA,CN CGE GABA,CN LAMP5-CXCL14 GABA,LAMP5-CXCL14 GABA]",null,null,subclass: 049 Lamp5 Gaba,lamp5 GABAergic cortical interneuron,true
Group: LAMP5-CXCL14 GABA --> subclass: 049 Lamp5 Gaba,null,"[Subpallium GABA,CN CGE GABA,CN LAMP5-CXCL14 GABA,LAMP5-CXCL14 GABA]",null,null,class: 06 CTX-CGE GABA,caudal ganglionic eminence derived cortical interneuron,true
Group: VIP GABA --> subclass: 046 Vip Gaba,[https://doi.org/10.1038/s41586-020-2874-8],"[Subpallium GABA,CN CGE GABA,CN VIP GABA,VIP GABA]",null,null,subclass: 046 Vip Gaba,VIP GABAergic cortical interneuron,true
Group: VIP GABA --> subclass: 046 Vip Gaba,[https://doi.org/10.1038/s41586-020-2874-8],"[Subpallium GABA,CN CGE GABA,CN VIP GABA,VIP GABA]",null,null,class: 06 CTX-CGE GABA,caudal ganglionic eminence derived cortical interneuron,true
Group: GPe MEIS2-SOX6 GABA --> supertype: 0257 GPe-SI Sox6 Cyp26b1 Gaba_1,null,"[Subpallium GABA,CN LGE GABA,CN MEIS2 GABA,GPe MEIS2-SOX6 GABA]",null,null,class: 09 CNU-LGE GABA,lateral ganglionic eminence derived neuron,true
Group: GPin-BF Cholinergic GABA --> supertype: 0259 PAL-STR Gaba-Chol_1,null,"[Subpallium GABA,CN MGE GABA,CN Cholinergic GABA,GPin-BF Cholinergic GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: STR Cholinergic GABA --> supertype: 0260 PAL-STR Gaba-Chol_2,null,"[Subpallium GABA,CN MGE GABA,CN Cholinergic GABA,STR Cholinergic GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: STRd Cholinergic GABA --> supertype: 0260 PAL-STR Gaba-Chol_2,null,"[Subpallium GABA,CN MGE GABA,CN Cholinergic GABA,STRd Cholinergic GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: LAMP5-LHX6 GABA --> supertype: 0203 Lamp5 Lhx6 Gaba_1,null,"[Subpallium GABA,CN MGE GABA,CN LAMP5-LHX6 GABA,LAMP5-LHX6 GABA]",null,null,subclass: 050 Lamp5 Lhx6 Gaba,Lamp5 Lhx6 neuron,true
Group: LAMP5-LHX6 GABA --> supertype: 0203 Lamp5 Lhx6 Gaba_1,null,"[Subpallium GABA,CN MGE GABA,CN LAMP5-LHX6 GABA,LAMP5-LHX6 GABA]",null,null,class: 07 CTX-MGE GABA,medial ganglionic eminence derived GABAergic cortical interneuron,true
Group: STR-BF TAC3-PLPP4-LHX8 GABA --> supertype: 0236 STR Lhx8 Gaba_1,null,"[Subpallium GABA,CN MGE GABA,CN ST18 GABA,STR-BF TAC3-PLPP4-LHX8 GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: STR LYPD6-RSPO2 GABA --> supertype: 0212 Pvalb Gaba_8,null,"[Subpallium GABA,CN MGE GABA,STR RSPO2 GABA,STR LYPD6-RSPO2 GABA]",null,null,subclass: 052 Pvalb Gaba,pvalb GABAergic cortical interneuron,true
Group: STR LYPD6-RSPO2 GABA --> supertype: 0212 Pvalb Gaba_8,null,"[Subpallium GABA,CN MGE GABA,STR RSPO2 GABA,STR LYPD6-RSPO2 GABA]",null,null,class: 07 CTX-MGE GABA,medial ganglionic eminence derived GABAergic cortical interneuron,true
Group: STR SST-RSPO2 GABA --> supertype: 0228 Sst Gaba_15,null,"[Subpallium GABA,CN MGE GABA,STR RSPO2 GABA,STR SST-RSPO2 GABA]",null,null,subclass: 053 Sst Gaba,sst GABAergic cortical interneuron,true
Group: STR SST-RSPO2 GABA --> supertype: 0228 Sst Gaba_15,null,"[Subpallium GABA,CN MGE GABA,STR RSPO2 GABA,STR SST-RSPO2 GABA]",null,null,class: 07 CTX-MGE GABA,medial ganglionic eminence derived GABAergic cortical interneuron,true
Group: STR SST-ADARB2 GABA --> subclass: 053 Sst Gaba,null,"[Subpallium GABA,CN MGE GABA,STR SST GABA,STR SST-ADARB2 GABA]",null,null,subclass: 053 Sst Gaba,sst GABAergic cortical interneuron,true
Group: STR SST-ADARB2 GABA --> subclass: 053 Sst Gaba,null,"[Subpallium GABA,CN MGE GABA,STR SST GABA,STR SST-ADARB2 GABA]",null,null,class: 07 CTX-MGE GABA,medial ganglionic eminence derived GABAergic cortical interneuron,true
Group: STR SST-CHODL GABA --> subclass: 056 Sst Chodl Gaba,[https://doi.org/10.1038/s41586-020-2874-8],"[Subpallium GABA,CN MGE GABA,STR SST-CHODL GABA,STR SST-CHODL GABA]",null,null,subclass: 056 Sst Chodl Gaba,sst chodl GABAergic cortical interneuron,true
Group: STR SST-CHODL GABA --> subclass: 056 Sst Chodl Gaba,[https://doi.org/10.1038/s41586-020-2874-8],"[Subpallium GABA,CN MGE GABA,STR SST-CHODL GABA,STR SST-CHODL GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: OB Dopa-GABA --> supertype: 0163 OB Dopa-Gaba_2,null,"[Subpallium GABA,Cx GABA,ACx MEIS2 GABA,OB Dopa-GABA]",null,null,class: 05 OB-IMN GABA,neuron,true
Group: OB FRMD7 GABA --> subclass: 041 OB-in Frmd7 Gaba,null,"[Subpallium GABA,Cx GABA,ACx MEIS2 GABA,OB FRMD7 GABA]",null,null,class: 05 OB-IMN GABA,neuron,true
Group: GPe SOX6-CTXND1 GABA --> supertype: 0247 NDB-SI-MA-STRv Lhx8 Gaba_4,null,"[Subpallium GABA,F M GABA,CN LHX8 GABA,GPe SOX6-CTXND1 GABA]",null,null,class: 08 CNU-MGE GABA,medial ganglionic eminence derived interneuron,true
Group: GPi Core --> supertype: 0461 ZI Pax6 Gaba_3,[https://doi.org/10.1016/j.neuron.2017.03.017],"[Subpallium GABA,F M GABA,CN ONECUT1 GABA,GPi Core]",null,null,class: 12 HY GABA,neuron,true
Group: AMY-SLEA-BNST D1 GABA --> subclass: 081 ACB-BST-FS D1 Gaba,null,"[Subpallium GABA,F M GABA,F GABA,AMY-SLEA-BNST D1 GABA]",null,null,class: 11 CNU-HYa GABA,neuron,true
Group: AMY-SLEA-BNST GABA --> supertype: 0384 CEA-BST Ebf1 Pdyn Gaba_1,null,"[Subpallium GABA,F M GABA,F GABA,AMY-SLEA-BNST GABA]",null,null,class: 11 CNU-HYa GABA,neuron,true
Group: SN GATA3-PAX8 GABA --> subclass: 195 SNr-VTA Pax5 Npas1 Gaba,[https://doi.org/10.3389/fnins.2022.976209],"[Subpallium GABA,F M GABA,F M GATA3 GABA,SN GATA3-PAX8 GABA]",null,null,class: 20 MB GABA,neuron,true
Group: SN GATA3-PVALB GABA --> supertype: 0806 SNr Six3 Gaba_1,[https://doi.org/10.3389/fnins.2022.976209],"[Subpallium GABA,F M GABA,F M GATA3 GABA,SN GATA3-PVALB GABA]",null,null,class: 20 MB GABA,neuron,true
Group: SN-VTR-HTH GATA3-TCF7L2 GABA --> supertype: 0829 PRT Tcf7l2 Gaba_1,null,"[Subpallium GABA,F M GABA,F M GATA3 GABA,SN-VTR-HTH GATA3-TCF7L2 GABA]",null,null,class: 20 MB GABA,neuron,true
Group: GPi Shell --> supertype: 0504 GPi Tbr1 Cngb3 Gaba-Glut_1,[https://doi.org/10.1016/j.neuron.2017.03.017],"[Subpallium GABA-Glut,CN GABA-Glut,CN GABA-Glut,GPi Shell]",null,null,class: 13 CNU-HYa Glut,neuron,true
